Nodes,Dimension,Size,Time,Largest,Estimated
4,0,0.898098622425,2.22206115723e-05,0.481086480773,1.51571656651
4,2,1.18098913065,2.53081321716e-05,0.527843641597,2.0
4,3,1.57438703476,2.86817550659e-05,0.684913771462,2.29739670999
4,4,1.82677200748,2.11238861084e-05,0.746487659862,2.63901582155
8,0,1.10583877466,5.74588775635e-05,0.313118902017,1.86606598307
8,2,1.93207057414,5.01275062561e-05,0.453853360314,2.82842712475
8,3,2.61785892869,5.63025474548e-05,0.560278964323,3.48220225318
8,4,3.58095495812,4.75645065308e-05,0.709509091603,4.28709385015
16,0,1.13903781483,0.000184011459351,0.211542665341,2.29739670999
16,2,2.68359150001,0.000169265270233,0.36784548686,4.0
16,3,4.59938811112,0.000176513195038,0.51602063661,5.27803164309
16,4,6.10623582315,0.000161898136139,0.62577894828,6.96440450637
32,0,1.16777497829,0.000501847267151,0.125923300878,2.82842712475
32,2,3.85202645678,0.000523412227631,0.268599268917,5.65685424949
32,3,7.1191223243,0.000574159622192,0.405033214318,8.0
32,4,10.4329088404,0.00051509141922,0.540815493358,11.313708499
64,0,1.30467402729,0.00179728269577,0.0738982120169,3.48220225318
64,2,5.58573364956,0.00195748806,0.191548391301,8.0
64,3,11.251439121,0.00201445817947,0.348121559495,12.1257325321
64,4,16.9945154338,0.00190173387527,0.458321074075,18.37917368
128,0,1.22125994116,0.00763323307037,0.0392913354879,4.28709385015
128,2,7.62026454729,0.00879546403885,0.145085735936,11.313708499
128,3,17.7007030966,0.0079682469368,0.267886556331,18.37917368
128,4,28.5418780816,0.00749959945679,0.388263658164,29.8570557292
256,0,1.22069331062,0.030907869339,0.0246687361705,5.27803164309
256,2,10.6632024339,0.0336228609085,0.107562648319,16.0
256,3,27.3871705404,0.0304851055145,0.212383746278,27.8576180255
256,4,47.1427839963,0.0280568599701,0.347286252594,48.5029301283
512,0,1.19944229698,0.12612092495,0.0130492597443,6.49801917085
512,2,14.9724872719,0.137951624393,0.0771002819307,22.627416998
512,3,43.3823896143,0.147922730446,0.182128619545,42.2242531447
512,4,78.1012563147,0.130873894691,0.293971845664,78.7932424541
1024,0,1.21452076715,0.497339808941,0.00757219692482,8.0
1024,2,20.9889515568,0.57523059845,0.0567159749507,32.0
1024,3,68.0668460486,0.535757505894,0.145002643864,64.0
1024,4,130.347584313,0.53870960474,0.253412623413,128.0
2048,0,1.21013045497,2.10018027623,0.00410144618341,9.84915530676
2048,2,29.6508325448,2.43778848648,0.0400990669856,45.2548339959
2048,3,107.200543486,2.28970351219,0.118276498422,97.0058602567
2048,4,216.792358247,2.20374469757,0.214294786284,207.936613467
4096,0,1.20892058934,10.1910194556,0.0021426356094,12.1257325321
4096,2,41.7483703872,10.4191372554,0.0291381915803,64.0
4096,3,169.103166895,10.4170636018,0.0972114908035,147.03338944
4096,4,360.8961629,11.9859979788,0.176135921264,337.794025158
8192,0,1.2,0.0,0.0,14.9285278646
8192,2,58.8,0.0,0.0,90.5096679919
8192,3,267.0,0.0,0.0,222.860944204
8192,4,603.0,0.0,0.0,548.748012819
16384,0,1.2,0.0,0.0,18.37917368
16384,2,83.0,0.0,0.0,128.0
16384,3,422.0,0.0,0.0,337.794025158
16384,4,1008.0,0.0,0.0,891.443776815
32768,0,1.2,0.0,0.0,22.627416998
32768,2,117.0,0.0,0.0,181.019335984
32768,3,668.0,0.0,0.0,512.0
32768,4,1688.0,0.0,0.0,1448.15468787
65536,0,1.2,0.0,0.0,27.8576180255
65536,2,166.0,0.0,0.0,256.0
65536,3,1059.0,0.0,0.0,776.046882053
65536,4,2830.0,0.0,0.0,2352.53423103
